Assessment Unit Code	Assessment Unit Name	Number of Oil Fields	Oil Volume in Oil Fields (MMBO)	Gas Volume in Oil Fields (BCFG)	NGL Volume in Oil Fields (MMBO)	Number of Gas Fields	Oil Volume in Gas Fields (MMBO)	Gas Volume in Gas Fields (BCFG)	NGL Volume in Gas Fields (MMBO)	Number of N Fields	Oil Volume in N Fields (MMBO)	Gas Volume in N Fields (BCFG)	NGL Volume in N Fields (MMBO)	Total Number of Fields	Total Oil Volume (MMBO)	Total Gas Volume (BCFG)	Total NGL Volume (MMBO)	"First Third or Half, Oil Fields, Year Start"	"First Third or Half, Oil Fields, Year End"	"First Third or Half, Number of Oil Fields"	"First Third or Half, Oil Volume in Oil Fields (MMBO)"	"First Third or Half, Mean Oil-Field Size (MMBO)"	"First Third or Half, Median Oil-Field Size (MMBO)"	"Second Third or Half, Oil Fields, Year End"	"Second Third or Half, Number of Oil Fields"	"Second Third or Half, Oil Volume in Oil Fields (MMBO)"	"Second Third or Half, Mean Oil-Field Size (MMBO)"	"Second Third or Half, Median Oil-Field Size (MMBO)"	"Third Third, Oil Fields, Year End"	"Third Third, Number of Oil Fields"	"Third Third, Oil Volume in Oil Fields (MMBO)"	"Third Third, Mean Oil-Field Size (MMBO)"	"Third Third, Median Oil-Field Size (MMBO)"	"Overall, Mean Oil-Field Size (MMBO)"	"Overall, Median Oil-Field Size (MMBO)"	"First Third or Half, Gas Fields, Year Start"	"First Third or Half, Gas Fields, Year End"	"First Third or Half, Number of Gas Fields"	"First Third or Half, Gas Volume in Gas Fields (BCFG)"	"First Third or Half, Mean Gas-Field Size (BCFG)"	"First Third or Half, Median Gas-Field Size (BCFG)"	"Second Third or Half, Gas Fields, Year End"	"Second Third or Half, Number of Gas Fields"	"Second Third or Half, Gas Volume in Gas Fields (BCFG)"	"Second Third or Half, Mean Gas-Field Size (BCFG)"	"Second Third or Half, Median Gas-Field Size (BCFG)"	"Third Third, Gas Fields, Year End"	"Third Third, Number of Gas Fields"	"Third Third, Gas Volume in Gas Fields (BCFG)"	"Third Third, Mean Gas-Field Size (BCFG)"	"Third Third, Median Gas-Field Size (BCFG)"	"Overall, Mean Gas-Field Size (BCFG)"	"Overall, Median Gas-Field Size (BCFG)"
11540101	Northern and Western Areas	10	94	531	0	55	45	51881	112	16	1	0	0	81	140	52412	112	1959	1961	5	48	10	7	1993	5	46	9	8	NA	NA	NA	NA	NA	9	8	1953	1961	18	29240	1624	176	1967	19	12664	667	160	1991	18	9977	554	170	943	172
11540102	Karabil-Badkhyz (Southern Area)	7	110	0	0	20	0	57990	113	4	0	0	0	31	111	57990	113	1959	1976	4	92	23	15	1978	3	18	6	5	NA	NA	NA	NA	NA	16	9	1961	1968	7	15201	2172	150	1978	7	40815	5831	651	1992	6	1974	329	215	2899	262
11540103	Murgab Depression Suprasalt	0	0	0	0	23	0	49516	103	21	0	0	0	44	0	49516	103	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1962	1976	8	38361	4795	589	1982	8	8722	1090	935	1994	7	2433	348	170	2153	370
11540104	Murgab Depression Subsalt	3	454	5645	538	45	62	64929	309	16	0	2	1	64	516	70576	848	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1962	1971	15	29693	1980	879	1980	15	31979	2132	285	1991	15	3257	217	170	1443	272
11740101	Upper Jurassic-Cretaceous Sandstones	397	117493	86701	682	30	34	10881	83	15	0	0	0	442	117526	97582	764	1960	1975	132	90245	684	40	1987	133	20647	155	30	1994	132	6601	50	12	296	25	1953	1961	10	4176	418	163	1963	10	891	89	69	1992	10	5814	581	200	363	128
11740201	Pre-Upper Jurassic	70	11756	3680	3	10	0	1500	0	4	0	0	0	84	11756	5180	3	1962	1979	23	10328	449	20	1987	24	891	37	31	1992	23	538	23	10	168	20	1960	1965	5	256	51	56	1989	5	1244	249	200	NA	NA	NA	NA	NA	150	58
11740301	Northern West Siberian Onshore Gas	21	5862	17907	268	65	4323	1067581	2059	16	0	0	0	102	10185	1085488	2326	1964	1984	7	4870	696	90	1987	7	592	85	60	1991	7	400	57	12	279	60	1962	1974	22	1005220	45692	14735	1987	22	51337	2334	1250	1991	21	11024	525	300	16424	1200
12100101	Baikal-Patom Foldbelt Riphean-Craton Margin Vendian	5	1844	2885	30	12	162	27325	330	13	0	0	0	30	2006	30210	360	1969	1978	3	1390	463	150	1990	2	454	227	227	NA	NA	NA	NA	NA	369	150	1970	1981	6	18625	3104	1050	1991	6	8700	1450	100	NA	NA	NA	NA	NA	2277	310
13220101	Onshore and Offshore Northeastern Shelf	32	2026	6791	68	18	150	15549	97	22	6	44	0	72	2182	22383	165	1923	1957	11	630	57	30	1967	11	350	32	16	1989	10	1045	105	36	63	28	1953	1967	6	322	54	31	1984	6	14403	2401	218	1992	6	824	137	48	864	60
20040101	Ma'Rib-Al Jawf/Shabwah/Masila	35	1920	5921	197	15	12	11197	115	4	1	2	0	54	1933	17120	312	1984	1989	12	1157	96	50	1992	12	551	46	28	1995	11	212	19	10	55	20	1985	1987	5	6472	1294	490	1991	5	4595	919	475	1994	5	130	26	25	746	87
20140101	Ghaba-Makarem Combined Structural	42	2001	13401	240	10	26	6935	267	5	1	3	0	57	2028	20339	507	1964	1983	14	1565	112	43	1987	14	321	23	13	1993	14	115	8	5	48	15	1971	1974	5	5820	1164	200	1995	5	1115	223	140	NA	NA	NA	NA	NA	694	170
20160101	Fahud-Huqf Combined Structural	16	2680	5310	40	17	5	2323	18	0	0	0	0	33	2685	7633	58	1962	1986	5	2575	515	75	1993	6	65	11	5	1995	5	40	8	10	168	10	1967	1984	6	848	141	169	1986	6	1125	188	150	1994	5	350	70	40	137	150
20160201	Natih-Fiqa Structural/Stratigraphic	4	1840	1200	50	2	11	1900	50	2	1	0	0	8	1852	3100	100	1963	1964	2	1800	900	900	1980	2	40	20	20	NA	NA	NA	NA	NA	460	310	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
20190101	Cretaceous Reservoirs in Northwest Desert Anticlines	22	18981	16312	30	0	0	0	0	0	0	0	0	22	18981	16312	30	1965	1972	7	17260	2466	1200	1983	8	1369	171	144	1994	7	352	50	25	863	144	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
20190102	Cretaceous Reservoirs in South Gulf Suprasalt Structural	37	52094	67795	643	0	0	0	0	1	NA	NA	NA	38	52094	67795	643	1954	1969	12	43682	3640	163	1976	13	6885	530	375	1992	12	1527	127	59	1408	150	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
20190103	Mesozoic/Tertiary Foredeep Fold and Thrust	2	156	1050	35	16	0	16943	1193	0	0	0	0	18	156	17993	1228	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1972	1978	5	2784	557	350	1983	6	12739	2123	1250	1987	5	1420	284	120	1059	394
20190202	Jurassic Reservoirs in South Gulf Suprasalt/Qatar Arch Structural	40	18233	70012	331	5	3	1000	61	0	0	0	0	45	18236	71012	392	1958	1969	13	12643	973	270	1982	14	4960	354	83	1991	13	630	48	50	456	95	1971	1990	3	700	233	100	1992	2	300	150	150	NA	NA	NA	NA	NA	200	100
20210101	Central Arch Horst-Block Anticlinal Oil and Gas	14	6226	9815	170	4	0	2300	173	0	0	0	0	18	6226	12115	343	1973	1989	5	1926	385	400	1990	5	3500	700	500	1995	4	800	200	200	445	275	1990	1994	2	1250	625	625	1995	2	1050	525	525	NA	NA	NA	NA	NA	575	625
20210201	Horst-Block Anticlinal Oil	25	155145	229615	8400	0	0	0	0	0	0	0	0	25	155145	229615	8400	1940	1971	8	142700	17838	1475	1978	9	6045	672	700	1984	8	6400	800	750	6206	700	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
20210202	Salt-Involved Structural Oil	12	43850	45680	805	0	0	0	0	0	0	0	0	12	43850	45680	805	1938	1963	6	28600	4767	4350	1978	6	15250	2542	725	NA	NA	NA	NA	NA	3654	1650	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
20230101	Horst/Graben-Related Oil and Gas	22	1212	505	25	2	0	1145	0	6	1	11	0	30	1213	1661	25	1936	1986	7	640	91	30	1991	8	212	27	20	1995	7	360	51	20	55	23	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
20230201	Platform Horst/Graben-Related Oil	14	474	100	0	0	0	0	0	0	0	0	0	14	474	100	0	1959	1990	5	373	75	30	1991	5	83	17	10	1994	4	18	5	4	34	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
20300101	Cretaceous Reservoirs	169	262620	184992	1144	16	288	48802	112	44	9	4	0	229	262917	233798	1256	1932	1965	56	183817	3282	280	1977	57	59902	1051	200	1995	56	18901	338	100	1554	165	1930	1966	5	4900	980	930	1977	6	38695	6449	3373	1993	5	5207	1041	117	3050	830
20300102	Tertiary Reservoirs	73	108304	204913	7	15	1006	54527	300	2	0	0	0	90	109310	259440	306	1905	1958	24	71343	2973	385	1970	25	31964	1279	250	1994	24	4997	208	100	1484	190	1928	1965	5	44750	8950	2000	1976	5	8005	1601	350	1979	5	1772	354	100	3635	600
20300201	Northern Qatar Arch Extension	0	0	0	0	10	0	131220	925	0	0	0	0	10	0	131220	925	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1966	1975	5	101220	20244	13200	1995	5	30000	6000	5900	NA	NA	NA	NA	NA	13122	10000
20430101	Southeast Sirte Clastics	69	20891	9587	100	0	0	0	0	8	4	0	0	77	20895	9587	100	1959	1969	23	18197	791	55	1981	23	1738	76	18	1995	23	956	42	20	303	20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
20430102	Central Sirte Carbonates	149	16152	9474	0	17	20	18705	29	9	5	1	0	175	16177	28180	29	1958	1965	50	11342	227	25	1979	50	3594	72	20	1995	49	1216	25	10	108	19	1959	1965	6	15760	2627	350	1983	6	2610	435	275	1995	5	335	67	50	1100	150
20480101	Bou Dabbous-Tertiary Structural/Stratigraphic	27	2097	12859	19	14	16	2635	25	5	1	15	0	46	2114	15509	44	1971	1977	9	536	60	19	1982	9	1295	144	5	1995	9	266	30	25	78	19	1975	1978	5	1625	325	350	1982	5	585	117	100	1995	4	425	106	75	188	150
20480201	Jurassic-Cretaceous Structural/Stratigraphic	11	101	105	1	6	0	1181	21	9	3	15	0	26	103	1301	23	1974	1983	6	26	4	4	1992	5	75	15	10	NA	NA	NA	NA	NA	9	10	1949	1974	3	156	52	50	1989	3	1025	342	200	NA	NA	NA	NA	NA	197	75
20540101	Tanezzuft-Oued Mya Structural/Stratigraphic	34	10842	8970	0	0	0	0	0	2	1	3	0	36	10843	8973	0	1956	1971	11	10563	960	133	1978	12	130	11	9	1995	11	150	14	10	319	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
20540301	Tanezzuft-Ghadames Structural/Stratigraphic	66	4385	5327	63	21	151	11154	948	6	2	3	0	93	4538	16484	1011	1960	1976	22	2166	98	15	1987	22	444	20	10	1995	22	1775	81	13	66	13	1959	1964	7	6860	980	670	1981	7	2819	403	200	1995	7	1475	211	100	531	200
20560101	Tanezzuft-Illizi Structural/Stratigraphic	51	3406	14795	263	38	262	30244	635	13	2	22	0	102	3670	45061	898	1956	1960	17	1661	98	9	1964	17	498	29	7	1994	17	1248	73	25	67	11	1958	1961	13	18063	1389	402	1963	13	3411	262	309	1993	12	8770	731	427	796	391
20580101	Tanezzuft-Timimoun Structural/Stratigraphic	0	0	0	0	11	0	4200	0	0	0	0	0	11	0	4200	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1957	1985	6	3785	631	475	1993	5	415	83	50	NA	NA	NA	NA	NA	382	50
20580201	Tanezzuft-Ahnet Structural/Stratigraphic	1	NA	NA	NA	20	0	3105	85	3	0	12	5	24	1	3117	90	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1954	1957	7	720	103	75	1990	7	1595	228	55	1992	6	790	132	125	155	65
20580301	Tanezzuft-Sbaa Structural/Stratigraphic	7	278	105	0	5	5	1380	10	3	1	5	0	15	284	1490	10	1959	1986	4	215	54	18	1992	3	63	21	15	NA	NA	NA	NA	NA	40	15	1957	1989	3	200	67	50	1993	2	1180	590	590	NA	NA	NA	NA	NA	276	50
20710101	Gulf of Suez Block-Fault Fairway	85	9745	5140	19	2	6	820	22	18	4	0	0	105	9754	5960	41	1909	1978	28	8280	296	51	1982	29	807	28	10	1995	28	658	24	7	115	16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
20710201	Red Sea Coastal Block Faults	7	53	82	1	6	102	3425	254	4	1	20	0	17	155	3527	256	1968	1985	4	39	10	10	1988	3	14	5	5	NA	NA	NA	NA	NA	8	7	1969	1976	3	1850	617	840	1992	3	1575	525	45	NA	NA	NA	NA	NA	571	443
31150101	Upper Paleozoic/Lower Mesozoic Nonmarine Coarse Clastics	12	6624	2248	0	0	0	0	0	0	0	0	0	12	6624	2248	0	1955	1959	6	6434	1072	89	1984	6	190	32	24	NA	NA	NA	NA	NA	552	51	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
31150201	Jurassic/Tertiary Fluvial and Lacustrine Sandstone	6	210	122	0	3	0	220	0	0	0	0	0	9	210	342	0	1897	1985	3	40	13	10	1991	3	170	57	25	NA	NA	NA	NA	NA	35	18	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
31270101	Tertiary Lacustrine	107	19486	7698	33	6	101	3535	21	1	NA	NA	NA	114	19587	11233	53	1961	1971	36	13255	368	72	1981	36	3202	89	50	1995	35	3029	87	10	182	40	1973	1980	3	3400	1133	200	1990	3	135	45	50	NA	NA	NA	NA	NA	589	80
31270102	Pre-Tertiary Buried Hills	25	4366	1069	2	1	NA	NA	NA	1	NA	NA	NA	27	4366	3569	2	1967	1975	8	3795	474	150	1978	9	230	26	20	1993	8	341	43	42	175	34	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
31280101	Jurassic/Triassic Fluvial and Lacustrine Sandstone	24	677	20	0	0	0	0	0	1	NA	NA	NA	25	678	20	0	1907	1966	8	105	13	9	1971	8	327	41	21	1984	8	245	31	20	28	18	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
31280201	Basin Centered Gas (Continuous) in Ordovician Carbonate and Permian Sandstone	0	0	0	0	7	0	5510	0	2	0	3	0	9	0	5513	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1969	1985	4	170	43	50	1988	3	5340	1780	50	NA	NA	NA	NA	NA	787	50
31420101	Southeastern Fold Belt	0	0	0	0	59	0	9802	0	2	0	9	0	61	0	9811	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	280	1965	20	5551	278	176	1975	20	1699	85	68	1993	19	2553	134	40	166	55
31420201	Jurassic Lacustrine	12	106	140	0	0	0	0	0	4	2	0	0	16	108	140	0	1955	1959	6	96	16	6	1981	6	10	2	2	NA	NA	NA	NA	NA	9	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
31440101	Subtle Traps	31	1145	53	0	10	0	770	0	0	0	0	0	41	1145	823	0	1958	1964	10	438	44	15	1974	11	455	41	30	1987	10	252	25	30	37	30	1961	1986	5	670	134	50	1990	5	100	20	20	NA	NA	NA	NA	NA	77	25
31440102	Anticlinal	21	14420	55	0	5	0	600	0	1	NA	NA	NA	27	14420	655	0	1958	1960	7	8520	1217	50	1975	7	5325	761	100	1987	7	575	82	10	687	30	1973	1987	3	540	180	20	1989	2	60	30	30	NA	NA	NA	NA	NA	120	20
31540101	Tarim Basin Excluding Marginal Foldbelts	11	637	562	9	6	19	4591	141	0	0	0	0	17	655	5153	149	1984	1990	6	323	54	46	1993	5	314	63	40	NA	NA	NA	NA	NA	58	40	1989	1990	3	3428	1143	403	1994	3	1163	388	403	NA	NA	NA	NA	NA	765	403
37010101	Brunei-Sabah Deltaics	47	6644	26174	51	18	7	7575	129	5	1	7	0	70	6652	33755	180	1910	1973	16	4881	305	163	1981	16	1192	75	15	1995	15	571	38	15	141	30	1975	1979	6	1550	258	200	1986	6	1550	258	200	1995	6	4475	746	675	421	225
37010102	Brunei-Sabah Turbidites	8	246	675	0	4	0	1770	0	0	0	0	0	12	246	2445	0	1971	1978	4	146	37	38	1990	4	100	25	10	NA	NA	NA	NA	NA	31	23	1972	1992	2	170	85	85	1994	2	1600	800	800	NA	NA	NA	NA	NA	443	125
37020101	Central Luconia	0	0	0	0	29	169	35015	366	5	0	20	0	34	170	35035	366	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1969	1973	10	23580	2358	1900	1990	10	4775	478	175	1994	9	6660	740	500	1207	600
37020102	Balingian	19	617	1504	0	8	10	575	13	1	NA	NA	NA	28	628	2084	13	1962	1981	6	157	26	15	1984	7	410	59	20	1990	6	50	8	8	32	12	1971	1981	4	365	91	50	1991	4	210	53	50	NA	NA	NA	NA	NA	72	50
37030101	South Malay Lacustrine	36	2951	10475	23	18	65	13595	108	1	NA	NA	NA	55	3017	24073	131	1969	1979	12	2030	169	105	1991	12	538	45	34	1994	12	383	32	28	82	40	1970	1978	6	9100	1517	1625	1994	6	1375	229	175	1995	6	3120	520	225	755	300
37030201	South Malay Coaly	7	590	2445	20	24	1	21449	166	2	1	7	0	33	592	23901	186	1979	1981	4	530	133	125	1991	3	60	20	5	NA	NA	NA	NA	NA	84	50	1969	1979	8	11874	1484	1600	1980	8	8550	1069	250	1995	8	1025	128	78	894	225
38080101	Pematang/Sihapas Siliciclastics	155	13183	1157	5	13	29	2695	5	19	6	15	0	187	13217	3866	11	1939	1975	52	12117	233	37	1981	52	626	12	6	1995	51	440	9	3	85	7	1941	1982	7	1330	190	100	1994	6	1365	228	75	NA	NA	NA	NA	NA	207	100
38170101	Kutei Basin Deltaics	27	2551	7850	279	34	326	36612	975	11	3	11	0	72	2879	44473	1253	1897	1973	9	1445	161	67	1979	9	942	105	10	1995	9	164	18	5	94	11	1900	1975	11	14867	1352	53	1983	12	11890	991	130	1995	11	9855	896	200	1077	130
38220101	North Sumatra	34	672	1456	9	41	0	24078	917	12	2	26	0	87	674	25559	926	1885	1965	11	460	42	15	1979	12	149	12	9	1988	11	63	6	5	20	8	1970	1980	14	18952	1354	84	1985	14	1588	113	56	1995	13	3538	272	100	587	60
