Assessment Unit Code	Assessment Unit Name	Number of Oil Fields	Oil Volume in Oil Fields (MMBO)	Gas Volume in Oil Fields (BCFG)	NGL Volume in Oil Fields (MMBO)	Number of Gas Fields	Oil Volume in Gas Fields (MMBO)	Gas Volume in Gas Fields (BCFG)	NGL Volume in Gas Fields (MMBO)	Number of N Fields	Oil Volume in N Fields (MMBO)	Gas Volume in N Fields (BCFG)	NGL Volume in N Fields (MMBO)	Total Number of Fields	Total Oil Volume (MMBO)	Total Gas Volume (BCFG)	Total NGL Volume (MMBO)	"First Third or Half, Oil Fields, Year Start"	"First Third or Half, Oil Fields, Year End"	"First Third or Half, Number of Oil Fields"	"First Third or Half, Oil Volume in Oil Fields (MMBO)"	"First Third or Half, Mean Oil-Field Size (MMBO)"	"First Third or Half, Median Oil-Field Size (MMBO)"	"Second Third or Half, Oil Fields, Year End"	"Second Third or Half, Number of Oil Fields"	"Second Third or Half, Oil Volume in Oil Fields (MMBO)"	"Second Third or Half, Mean Oil-Field Size (MMBO)"	"Second Third or Half, Median Oil-Field Size (MMBO)"	"Third Third, Oil Fields, Year End"	"Third Third, Number of Oil Fields"	"Third Third, Oil Volume in Oil Fields (MMBO)"	"Third Third, Mean Oil-Field Size (MMBO)"	"Third Third, Median Oil-Field Size (MMBO)"	"Overall, Mean Oil-Field Size (MMBO)"	"Overall, Median Oil-Field Size (MMBO)"	"First Third or Half, Gas Fields, Year Start"	"First Third or Half, Gas Fields, Year End"	"First Third or Half, Number of Gas Fields"	"First Third or Half, Gas Volume in Gas Fields (BCFG)"	"First Third or Half, Mean Gas-Field Size (BCFG)"	"First Third or Half, Median Gas-Field Size (BCFG)"	"Second Third or Half, Gas Fields, Year End"	"Second Third or Half, Number of Gas Fields"	"Second Third or Half, Gas Volume in Gas Fields (BCFG)"	"Second Third or Half, Mean Gas-Field Size (BCFG)"	"Second Third or Half, Median Gas-Field Size (BCFG)"	"Third Third, Gas Fields, Year End"	"Third Third, Number of Gas Fields"	"Third Third, Gas Volume in Gas Fields (BCFG)"	"Third Third, Mean Gas-Field Size (BCFG)"	"Third Third, Median Gas-Field Size (BCFG)"	"Overall, Mean Gas-Field Size (BCFG)"	"Overall, Median Gas-Field Size (BCFG)"
10500102	South Barents and Ludlov Saddle	0	0	0	0	4	0	159935	199	0	0	0	0	4	0	159935	199	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1984	1988	2	122503	61252	61252	1991	2	37432	18716	18716	NA	NA	NA	NA	NA	39984	18716
11080101	Tertiary Foredeep	22	1311	3504	2	13	1	631	0	50	0	5	0	85	1313	4139	2	1886	1948	7	301	43	12	1952	8	181	23	4	1994	7	829	118	3	60	4	1949	1970	7	240	34	31	1992	6	391	65	38	NA	NA	NA	NA	NA	49	31
11080102	Foreland Slope	2	24	20	0	29	0	15413	52	41	0	10	0	72	24	15444	52	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1952	1957	10	8611	861	726	1962	10	5786	579	461	1994	9	1015	113	101	531	178
11090101	Foldbelt-Foothills	28	3504	4402	9	8	24	4619	28	11	1	2	0	47	3529	9023	37	1893	1941	9	2513	279	135	1959	10	843	84	55	1981	9	147	16	10	125	31	1928	1941	4	237	59	32	1983	4	4382	1095	743	NA	NA	NA	NA	NA	577	160
11090201	South Mangyshlak (Entire)	27	5609	4412	20	14	23	1872	32	1	NA	NA	NA	42	5633	6284	52	1961	1973	9	5314	590	92	1985	9	125	14	11	1993	9	170	19	10	208	14	1968	1974	5	1334	267	154	1988	5	466	93	50	1990	4	72	18	17	134	37
11090302	Onshore Stavropol-Prikumsk	38	924	317	3	21	0	13520	0	76	3	6	0	135	927	13843	4	1953	1967	13	647	50	6	1984	13	138	11	4	1993	12	138	12	3	24	4	1946	1958	7	9590	1370	185	1960	7	3297	471	30	1994	7	633	90	49	644	70
11120101	Apsheron-Pribalkhan Zone	45	16880	13088	130	9	147	7141	127	3	1	1	0	57	17027	20230	257	1871	1937	15	6779	452	216	1956	15	4666	311	141	1990	15	5436	362	70	375	141	1952	1973	5	6282	1256	789	1993	4	859	215	57	NA	NA	NA	NA	NA	793	634
11120102	Lower Kura Depression and Adjacent Shelf	17	2115	4582	68	6	37	4474	134	1	NA	NA	NA	24	2152	9056	202	1926	1954	6	176	29	11	1963	6	1074	179	156	1983	5	864	173	50	124	40	1939	1952	3	988	329	30	1978	3	3486	1162	227	NA	NA	NA	NA	NA	746	132
11120103	Gograndag-Okarem Zone and Adjacent Shelf	5	230	1152	28	16	190	11752	99	0	0	0	0	21	420	12905	126	1958	1972	3	77	26	24	1983	2	153	77	77	NA	NA	NA	NA	NA	46	39	1962	1977	5	1871	374	342	1988	6	8775	1463	146	1992	5	1106	221	68	735	168
11500101	Mesozoic Sandstone Reservoirs	8	3003	1217	0	1	NA	NA	NA	0	0	0	0	9	3003	1392	0	1974	1976	4	2888	722	589	1984	4	115	29	18	NA	NA	NA	NA	NA	375	50	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
11500201	Jurassic-Tertiary Reservoirs	3	104	61	0	8	0	1705	11	1	NA	NA	NA	12	104	1766	11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1964	1967	4	1198	300	164	1990	4	507	127	63	NA	NA	NA	NA	NA	213	100
11540101	Northern and Western Areas	11	112	622	0	55	50	56867	128	15	0	0	0	81	162	57489	128	1959	1967	6	74	12	11	1993	5	38	8	7	NA	NA	NA	NA	NA	10	8	1953	1961	18	30607	1700	184	1967	19	14046	739	171	1991	18	12214	679	231	1034	189
11540102	Karabil-Badkhyz (Southern Area)	7	154	0	0	20	0	68156	131	4	0	0	0	31	155	68156	131	1959	1976	4	129	32	20	1978	3	26	9	7	NA	NA	NA	NA	NA	22	10	1961	1968	7	17346	2478	157	1978	7	47460	6780	755	1992	6	3349	558	446	3408	480
11540103	Murgab Depression Suprasalt	0	0	0	0	23	0	61922	120	21	0	0	0	44	0	61922	120	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1962	1976	8	44306	5538	725	1982	8	12533	1567	1344	1994	7	5083	726	489	2692	532
11540104	Murgab Depression Subsalt	3	652	8112	773	45	94	76674	363	16	0	3	1	64	746	84789	1138	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1962	1971	15	33467	2231	1019	1980	15	38062	2537	409	1991	15	5144	343	359	1704	409
11740101	Upper Jurassic-Cretaceous Sandstones	397	142188	104485	788	30	52	12326	108	15	0	0	0	442	142240	116811	896	1960	1975	132	98454	746	46	1987	133	29993	226	43	1994	132	13741	104	24	358	41	1953	1961	10	4359	436	170	1963	10	933	93	72	1992	10	7034	703	315	411	131
11740201	Pre-Upper Jurassic	70	13499	4120	5	10	0	2029	0	4	0	0	0	84	13499	6150	5	1962	1979	23	10965	477	29	1987	24	1387	58	45	1992	23	1147	50	26	193	30	1960	1965	5	268	54	59	1989	5	1761	352	287	NA	NA	NA	NA	NA	203	61
11740301	Northern West Siberian Onshore Gas	21	7415	24775	397	65	5050	1247433	2500	16	0	0	0	102	12465	1272208	2897	1964	1984	7	5606	801	104	1987	7	981	140	120	1991	7	828	118	24	353	101	1962	1974	22	1151449	52339	17082	1987	22	72562	3298	1796	1991	21	23422	1115	658	19191	2012
12100101	Baikal-Patom Foldbelt Riphean-Craton Margin Vendian	5	2600	3774	35	12	194	39774	435	13	0	0	0	30	2794	43549	470	1969	1978	3	1945	648	174	1990	2	656	328	328	NA	NA	NA	NA	NA	520	174	1970	1981	6	22279	3713	1509	1991	6	17495	2916	212	NA	NA	NA	NA	NA	3315	598
13220101	Onshore and Offshore Northeastern Shelf	35	2760	10382	123	18	215	22843	158	19	5	47	0	72	2980	33272	281	1923	1958	12	680	57	39	1972	12	361	30	17	1991	11	1719	156	31	79	24	1953	1967	6	337	56	31	1984	6	20615	3436	276	1992	6	1891	315	87	1269	88
20040101	Ma'Rib-Al Jawf/Shabwah/Masila	36	3877	10966	349	15	24	20418	249	3	2	4	0	54	3902	31388	598	1984	1989	12	1919	160	86	1992	12	1316	110	68	1995	12	641	53	32	108	51	1985	1987	5	10071	2014	977	1991	5	9991	1998	1135	1994	5	356	71	78	1361	125
20140101	Ghaba-Makarem Combined Structural	44	3128	18497	332	10	46	14730	491	3	0	6	0	57	3175	33233	824	1964	1983	15	2265	151	68	1987	15	604	40	23	1993	14	259	19	13	71	29	1971	1974	5	10522	2104	362	1995	5	4208	842	588	NA	NA	NA	NA	NA	1473	475
20160101	Fahud-Huqf Combined Structural	16	3716	6841	50	17	11	5416	38	0	0	0	0	33	3727	12257	88	1962	1986	5	3354	671	174	1993	6	169	28	14	1995	5	192	38	30	232	29	1967	1984	6	1687	281	350	1986	6	2409	401	350	1994	5	1320	264	107	319	311
20160201	Natih-Fiqa Structural/Stratigraphic	5	2331	1508	63	2	18	3197	79	1	NA	NA	NA	8	2350	4705	141	1963	1976	3	2263	754	754	1980	2	68	34	34	NA	NA	NA	NA	NA	466	34	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
20190101	Cretaceous Reservoirs in Northwest Desert Anticlines	22	26168	22300	42	0	0	0	0	0	0	0	0	22	26168	22300	42	1965	1972	7	23370	3339	1668	1983	8	2000	250	221	1994	7	799	114	75	1189	221	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
20190102	Cretaceous Reservoirs in South Gulf Suprasalt Structural	37	68616	87874	827	0	0	0	0	1	NA	NA	NA	38	68617	87874	827	1954	1969	12	56377	4698	218	1976	13	9591	738	521	1992	12	2648	221	104	1854	227	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
20190103	Mesozoic/Tertiary Foredeep Fold and Thrust	2	225	1531	49	16	0	25659	1778	0	0	0	0	18	225	27190	1826	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1972	1978	5	4058	812	527	1983	6	19194	3199	1883	1987	5	2407	481	181	1604	594
20190202	Jurassic Reservoirs in South Gulf Suprasalt/Qatar Arch Structural	40	24665	93537	456	5	6	1847	100	0	0	0	0	45	24671	95384	556	1958	1969	13	16586	1276	349	1982	14	7043	503	122	1991	13	1037	80	77	617	139	1971	1990	3	1224	408	198	1992	2	624	312	312	NA	NA	NA	NA	NA	369	227
20210101	Central Arch Horst-Block Anticlinal Oil and Gas	14	12619	18307	324	4	0	7448	576	0	0	0	0	18	12619	25755	900	1973	1989	5	3010	602	760	1990	5	6727	1345	976	1995	4	2882	720	539	901	681	1990	1994	2	3382	1691	1691	1995	2	4066	2033	2033	NA	NA	NA	NA	NA	1862	2033
20210201	Horst-Block Anticlinal Oil	25	196585	286849	10427	0	0	0	0	0	0	0	0	25	196585	286849	10427	1940	1971	8	177779	22222	1980	1978	9	8991	999	973	1984	8	9815	1227	1150	7863	1074	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
20210202	Salt-Involved Structural Oil	12	56061	57419	1042	0	0	0	0	0	0	0	0	12	56061	57419	1042	1938	1963	6	35886	5981	5471	1978	6	20175	3363	1008	NA	NA	NA	NA	NA	4672	2021	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
20230101	Horst/Graben-Related Oil and Gas	23	2203	996	53	4	0	1691	0	3	1	3	0	30	2204	2689	53	1936	1986	8	1016	127	42	1991	8	506	63	41	1995	7	681	97	42	96	42	1975	1986	2	1667	833	833	1993	2	24	12	12	NA	NA	NA	NA	NA	423	197
20230201	Platform Horst/Graben-Related Oil	14	800	129	0	0	0	0	0	0	0	0	0	14	800	129	0	1959	1990	5	591	118	54	1991	5	165	33	20	1994	4	44	11	9	57	20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
20300101	Cretaceous Reservoirs	172	344172	240715	1433	16	422	73869	154	41	12	6	0	229	344605	314590	1588	1932	1965	57	230538	4045	388	1977	58	86365	1489	292	1995	57	27269	478	107	2001	226	1930	1966	5	6526	1305	1202	1977	6	54330	9055	5082	1993	5	13013	2603	176	4617	1106
20300102	Tertiary Reservoirs	73	137535	260966	8	15	1233	67713	389	2	0	0	0	90	138768	328678	397	1905	1958	24	87153	3631	444	1970	25	41548	1662	347	1994	24	8833	368	153	1884	233	1928	1965	5	53945	10789	2585	1976	5	11098	2220	484	1979	5	2670	534	151	4514	904
20300201	Northern Qatar Arch Extension	0	0	0	0	10	0	209203	1594	0	0	0	0	10	0	209203	1594	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1966	1975	5	139924	27985	18247	1995	5	69279	13856	12054	NA	NA	NA	NA	NA	20920	17335
20430101	Southeast Sirte Clastics	72	23468	10616	116	0	0	0	0	5	3	0	0	77	23471	10616	116	1959	1969	24	19423	809	58	1981	24	2032	85	14	1995	24	2013	84	39	326	34	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
20430102	Central Sirte Carbonates	150	18276	10608	0	17	21	20443	40	8	5	1	0	175	18301	31052	40	1958	1965	50	11878	238	26	1979	50	4343	87	26	1995	50	2054	41	22	122	23	1959	1965	6	16505	2751	367	1983	6	3165	527	319	1995	5	774	155	156	1203	216
20480101	Bou Dabbous-Tertiary Structural/Stratigraphic	27	3042	19037	53	16	23	3864	35	3	2	9	0	46	3067	22910	87	1971	1977	9	649	72	27	1982	9	1861	207	7	1995	9	532	59	50	113	36	1975	1978	5	2266	453	503	1982	6	848	141	90	1995	5	750	150	144	241	162
20480201	Jurassic-Cretaceous Structural/Stratigraphic	13	204	246	3	8	1	1582	29	5	2	5	0	26	206	1834	33	1974	1986	7	94	13	7	1995	6	110	18	23	NA	NA	NA	NA	NA	16	9	1949	1975	4	1102	275	84	1989	4	480	120	22	NA	NA	NA	NA	NA	198	44
20540101	Tanezzuft-Oued Mya Structural/Stratigraphic	34	11688	9748	0	0	0	0	0	2	1	4	0	36	11688	9752	0	1956	1971	11	11142	1013	139	1978	12	170	14	13	1995	11	375	34	24	344	25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
20540301	Tanezzuft-Ghadames Structural/Stratigraphic	66	8498	9251	142	21	262	14528	1291	6	2	6	0	93	8762	23785	1433	1960	1976	22	2305	105	16	1987	22	735	33	14	1995	22	5457	248	27	129	18	1959	1964	7	7184	1026	702	1981	7	3290	470	287	1995	7	4054	579	144	692	338
20560101	Tanezzuft-Illizi Structural/Stratigraphic	52	3966	16497	292	39	275	35500	837	11	1	18	0	102	4241	52014	1129	1956	1960	17	1739	102	10	1965	18	584	32	10	1994	17	1642	97	29	76	12	1958	1961	13	18916	1455	421	1963	13	3572	275	323	1993	13	13011	1001	419	910	409
20580101	Tanezzuft-Timimoun Structural/Stratigraphic	0	0	0	0	11	0	4920	0	0	0	0	0	11	0	4920	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1957	1985	6	3993	666	507	1993	5	927	185	139	NA	NA	NA	NA	NA	447	139
20580201	Tanezzuft-Ahnet Structural/Stratigraphic	1	NA	NA	NA	20	0	5405	88	3	0	13	5	24	1	5418	93	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1954	1957	7	737	105	75	1989	7	2765	395	70	1992	6	1904	317	285	270	98
20580301	Tanezzuft-Sbaa Structural/Stratigraphic	8	468	158	0	5	10	3392	25	2	1	5	0	15	479	3556	25	1959	1986	4	321	80	32	1994	4	147	37	25	NA	NA	NA	NA	NA	59	25	1957	1989	3	359	120	107	1993	2	3033	1517	1517	NA	NA	NA	NA	NA	678	139
20710101	Gulf of Suez Block-Fault Fairway	85	12056	6432	24	2	6	956	26	18	5	0	0	105	12067	7389	49	1909	1978	28	9511	340	59	1982	29	1159	40	14	1995	28	1385	49	14	142	26	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
20710201	Red Sea Coastal Block Faults	7	78	103	2	6	190	6371	372	4	1	26	0	17	269	6500	374	1968	1985	4	51	13	14	1988	3	27	9	10	NA	NA	NA	NA	NA	11	14	1969	1976	3	2381	794	1159	1992	3	3991	1330	90	NA	NA	NA	NA	NA	1062	625
31150101	Upper Paleozoic/Lower Mesozoic Nonmarine Coarse Clastics	12	6757	2307	0	0	0	0	0	0	0	0	0	12	6757	2307	0	1955	1959	6	6492	1082	93	1984	6	264	44	30	NA	NA	NA	NA	NA	563	63	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
31150201	Jurassic/Tertiary Fluvial and Lacustrine Sandstone	6	439	261	0	3	0	424	1	0	0	0	0	9	439	685	1	1897	1985	3	46	15	14	1991	3	393	131	50	NA	NA	NA	NA	NA	73	20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
31270101	Tertiary Lacustrine	107	23182	9272	47	6	146	5078	24	1	NA	NA	NA	114	23328	14350	72	1961	1971	36	14263	396	82	1981	36	3986	111	58	1995	35	4933	141	22	217	50	1973	1980	3	4830	1610	232	1990	3	248	83	72	NA	NA	NA	NA	NA	846	132
31270102	Pre-Tertiary Buried Hills	25	5240	1274	3	1	NA	NA	NA	1	NA	NA	NA	27	5240	4867	3	1967	1975	8	4400	550	174	1978	9	330	37	29	1993	8	510	64	60	210	49	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
31280101	Jurassic/Triassic Fluvial and Lacustrine Sandstone	24	786	24	0	0	0	0	0	1	NA	NA	NA	25	787	24	0	1907	1966	8	109	14	9	1971	8	379	47	24	1984	8	298	37	26	33	20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
31280201	Basin Centered Gas (Continuous) in Ordovician Carbonate and Permian Sandstone	0	0	0	0	7	0	10875	0	2	0	3	0	9	0	10878	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1969	1985	4	230	58	65	1988	3	10644	3548	100	NA	NA	NA	NA	NA	1554	72
31420101	Southeastern Fold Belt	0	0	0	0	59	0	13724	0	2	0	10	0	61	0	13734	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	280	1965	20	5723	286	180	1975	20	1969	98	78	1993	19	6032	317	57	233	64
31420201	Jurassic Lacustrine	12	113	154	0	0	0	0	0	4	2	0	0	16	115	154	0	1955	1959	6	100	17	6	1981	6	12	2	2	NA	NA	NA	NA	NA	9	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
31440101	Subtle Traps	31	1362	59	0	10	0	1412	0	0	0	0	0	41	1362	1471	0	1958	1964	10	459	46	16	1974	11	513	47	35	1987	10	390	39	43	44	40	1961	1986	5	1196	239	52	1990	5	216	43	43	NA	NA	NA	NA	NA	141	48
31440102	Anticlinal	21	15320	64	0	5	0	909	0	1	NA	NA	NA	27	15320	973	0	1958	1960	7	8923	1275	52	1975	7	5578	797	105	1987	7	819	117	20	730	31	1973	1987	3	782	261	40	1989	2	127	64	64	NA	NA	NA	NA	NA	182	40
31540101	Tarim Basin Excluding Marginal Foldbelts	11	1439	1133	22	6	43	11053	319	0	0	0	0	17	1482	12186	342	1984	1990	6	644	107	83	1993	5	795	159	102	NA	NA	NA	NA	NA	131	88	1989	1990	3	7730	2577	909	1994	3	3323	1108	963	NA	NA	NA	NA	NA	1842	936
37010101	Brunei-Sabah Deltaics	47	8035	32426	87	19	10	17030	296	4	1	4	0	70	8046	49459	383	1910	1973	16	5303	331	188	1981	16	1415	88	19	1995	15	1318	88	22	171	48	1975	1979	6	2019	337	260	1986	7	2262	323	216	1995	6	12748	2125	1589	896	287
37010102	Brunei-Sabah Turbidites	8	384	882	0	4	0	5329	0	0	0	0	0	12	384	6211	0	1971	1978	4	175	44	43	1990	4	209	52	18	NA	NA	NA	NA	NA	48	29	1972	1992	2	407	204	204	1994	2	4921	2461	2461	NA	NA	NA	NA	NA	1332	320
37020101	Central Luconia	0	0	0	0	32	206	53433	602	2	0	12	0	34	206	53445	602	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1969	1974	11	27423	2493	2087	1992	11	7830	712	226	1995	10	18179	1818	1164	1670	1041
37020102	Balingian	19	871	2190	0	9	20	1005	31	0	0	0	0	28	890	3195	31	1962	1981	6	182	30	17	1984	7	590	84	29	1990	6	99	16	13	46	17	1971	1981	5	518	104	58	1991	4	487	122	113	NA	NA	NA	NA	NA	112	58
37030101	South Malay Lacustrine	37	4788	15803	54	18	94	25206	210	0	0	0	0	55	4881	41009	264	1969	1979	12	2594	216	122	1991	13	1128	87	47	1994	12	1066	89	73	129	86	1970	1978	6	10702	1784	1884	1994	6	3503	584	454	1995	6	11001	1833	700	1400	748
37030201	South Malay Coaly	8	858	3540	29	25	1	29227	233	0	0	0	0	33	859	32767	262	1979	1981	4	762	190	180	1993	4	96	24	12	NA	NA	NA	NA	NA	107	47	1969	1979	8	14329	1791	1971	1983	9	12402	1378	359	1995	8	2496	312	143	1169	290
38080101	Pematang/Sihapas Siliciclastics	159	14184	2110	13	15	39	4353	11	13	5	2	0	187	14228	6465	24	1939	1975	53	12468	235	41	1981	53	869	16	7	1995	53	847	16	6	89	10	1941	1977	5	1392	278	144	1983	5	201	40	43	1994	5	2760	552	256	290	109
38170101	Kutei Basin Deltaics	28	3199	10424	323	35	408	57640	1670	9	3	10	0	72	3610	68073	1994	1897	1973	9	1614	179	67	1980	10	1113	111	11	1995	9	472	52	13	114	17	1900	1975	12	17306	1442	147	1983	12	16871	1406	86	1995	11	23463	2133	512	1647	156
38220101	North Sumatra	36	745	1735	13	44	0	32629	1145	7	1	15	0	87	747	34379	1158	1885	1967	12	474	39	14	1980	12	196	16	11	1992	12	75	6	6	21	10	1970	1980	15	22056	1470	72	1986	15	2610	174	86	1995	14	7963	569	106	742	85
